Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
0.12818598747253418,-95.063,-2.64,4.882,-0.0059,0.2657,0.3849,-0.47,-0.8,-9.723,-1.5e-05,0.00014,-0.000299
0.20492315292358398,-95.062,-2.641,4.881,-0.0047,0.2685,0.3803,-0.484,-0.848,-9.687,-0.000341,0.000729,0.001484
0.2750129699707031,-95.06,-2.644,4.881,-0.0059,0.2699,0.3818,-0.431,-0.85,-9.758,0.000131,-9.8e-05,-0.000291
0.39833998680114746,-95.065,-2.643,4.883,-0.006,0.2698,0.3772,-0.44,-0.832,-9.715,0.000937,0.000673,0.000937
0.5313611030578613,-95.066,-2.643,4.884,-0.0058,0.2685,0.3894,-0.47,-0.829,-9.689,-0.000639,0.000512,0.000124
0.6106410026550293,-95.067,-2.643,4.884,-0.0046,0.2657,0.3895,-0.422,-0.846,-9.677,-0.000129,0.000409,0.000528
0.6801509857177734,-95.067,-2.643,4.884,-0.0058,0.2672,0.3925,-0.439,-0.833,-9.724,0.00058,-0.001372,-0.000709
0.7504379749298096,-95.063,-2.64,4.883,-0.0058,0.2685,0.3879,-0.445,-0.841,-9.751,0.001629,0.00305,3e-06
0.8240220546722412,-95.062,-2.641,4.882,-0.0072,0.2671,0.3802,-0.488,-0.799,-9.717,0.003264,-0.001255,0.000272
0.8941390514373779,-95.063,-2.643,4.883,-0.0095,0.2714,0.3892,-0.467,-0.829,-9.712,-0.000241,0.001744,0.000457
0.9638080596923828,-95.064,-2.643,4.883,-0.0048,0.2629,0.382,-0.439,-0.848,-9.708,0.000158,-0.000624,0.000301
1.0349421501159668,-95.063,-2.64,4.883,-0.006,0.2643,0.3849,-0.4,-0.823,-9.704,0.00111,0.00201,0.000525
1.0729131698608398,-95.062,-2.638,4.884,-0.0034,0.2671,0.3911,-0.48,-0.818,-9.694,-1.1e-05,0.001183,0.001072
1.1415419578552246,-95.062,-2.639,4.882,-0.0034,0.2671,0.3896,-0.496,-0.796,-9.728,-0.000116,0.000313,-0.000772
1.2135100364685059,-95.063,-2.64,4.882,-0.0083,0.2644,0.3939,-0.442,-0.838,-9.695,-0.000841,4.5e-05,0.000117
1.2814159393310547,-95.065,-2.641,4.883,-0.0083,0.2685,0.3878,-0.414,-0.877,-9.706,-0.000522,0.000102,0.000501
1.4021530151367188,-95.069,-2.639,4.882,-0.0083,0.2727,0.3847,-0.478,-0.798,-9.691,0.001564,-0.000323,0.000676
1.4764440059661865,-95.069,-2.639,4.882,-0.0046,0.2713,0.3833,-0.515,-0.827,-9.665,0.001076,-0.000417,-0.000123
1.5616869926452637,-95.069,-2.64,4.882,-0.0048,0.2643,0.3804,-0.424,-0.832,-9.716,0.000344,0.000131,0.000615
1.6312789916992188,-95.068,-2.641,4.881,-0.0058,0.2658,0.3925,-0.396,-0.835,-9.713,0.000715,0.000372,0.000719
1.7001891136169434,-95.066,-2.641,4.881,-0.0071,0.2671,0.3863,-0.468,-0.821,-9.693,-5.1e-05,-0.000124,0.00046
1.7692501544952393,-95.068,-2.641,4.88,-0.0046,0.2671,0.3895,-0.507,-0.81,-9.691,-0.001116,-0.001154,-0.000445
1.8443830013275146,-95.071,-2.642,4.878,-0.0033,0.2685,0.3926,-0.454,-0.841,-9.708,-2e-05,-0.001126,-0.000405
1.9140729904174805,-95.07,-2.642,4.878,-0.0056,0.2838,0.3861,-0.406,-0.871,-9.724,-0.000784,-0.000377,0.001368
1.9515631198883057,-95.072,-2.642,4.878,-0.007,0.2741,0.3877,-0.405,-0.84,-9.698,-0.001153,-0.000972,9.7e-05
2.020473003387451,-95.07,-2.64,4.878,-0.0069,0.2741,0.3908,-0.463,-0.799,-9.713,-0.000281,-0.000723,0.000669
2.0885331630706787,-95.066,-2.641,4.877,-0.0047,0.2671,0.3819,-0.496,-0.79,-9.718,0.000484,-0.000599,0.000981
2.1612651348114014,-95.068,-2.642,4.876,-0.0072,0.2657,0.3864,-0.462,-0.838,-9.714,-0.000636,-0.000218,0.001085
2.2811660766601562,-95.07,-2.642,4.879,-0.0071,0.2658,0.3909,-0.384,-0.845,-9.718,-0.000101,-0.000252,-0.000353
2.351886034011841,-95.073,-2.641,4.879,-0.0034,0.2671,0.3865,-0.489,-0.797,-9.697,0.002193,0.002584,0.000264
2.4284069538116455,-95.074,-2.642,4.877,-0.0058,0.2699,0.3894,-0.466,-0.794,-9.707,-0.000755,0.000762,0.000482
2.502347946166992,-95.076,-2.642,4.877,-0.0046,0.2699,0.3895,-0.417,-0.85,-9.67,0.00025,-0.000188,0.000772
2.5731940269470215,-95.075,-2.642,4.877,-0.0071,0.2699,0.3832,-0.362,-0.846,-9.73,0.000487,-0.000427,0.000734
2.6442151069641113,-95.076,-2.641,4.879,-0.0059,0.2657,0.3879,-0.459,-0.837,-9.722,0.001566,9.5e-05,-0.000223
2.7287421226501465,-95.073,-2.64,4.879,-0.0071,0.2699,0.3863,-0.522,-0.815,-9.768,0.000682,0.000144,-0.000161
2.800110101699829,-95.075,-2.642,4.879,-0.0045,0.2713,0.391,-0.442,-0.832,-9.669,9.8e-05,0.000572,-0.00016
2.9240620136260986,-95.073,-2.643,4.881,-0.006,0.2643,0.3834,-0.427,-0.812,-9.725,-0.000375,0.000261,0.000593
2.9967150688171387,-95.072,-2.642,4.88,-0.0035,0.2657,0.385,-0.46,-0.807,-9.687,-0.000256,0.0011,0.000768
3.1146621704101562,-95.066,-2.64,4.879,-0.0046,0.2671,0.3895,-0.451,-0.836,-9.732,0.00091,7.7e-05,-0.001112
3.1497960090637207,-95.065,-2.639,4.879,-0.0047,0.2671,0.3834,-0.42,-0.856,-9.714,-0.000126,0.000143,-0.000416
3.216917037963867,-95.069,-2.638,4.878,-0.0084,0.2658,0.3893,-0.414,-0.868,-9.726,-0.000177,0.000638,-0.000306
3.2866220474243164,-95.067,-2.636,4.878,-0.0072,0.263,0.3879,-0.442,-0.842,-9.723,0.000368,0.000436,-1e-05
3.3625199794769287,-95.068,-2.64,4.878,-0.0057,0.2741,0.3893,-0.512,-0.813,-9.701,0.001213,-0.001451,0.000154
3.4815189838409424,-95.07,-2.641,4.881,-0.007,0.2713,0.3878,-0.473,-0.833,-9.701,0.000351,0.001183,-0.000894
3.551558017730713,-95.069,-2.64,4.881,-0.0045,0.2699,0.391,-0.405,-0.836,-9.682,-0.00042,0.001872,0.000984
3.5965189933776855,-95.067,-2.638,4.881,-0.0033,0.2699,0.3895,-0.448,-0.82,-9.689,-0.000496,9.6e-05,0.000323
3.714385986328125,-95.067,-2.64,4.88,-0.006,0.2643,0.3849,-0.532,-0.815,-9.691,3.1e-05,-0.000856,4.5e-05
3.7884960174560547,-95.068,-2.64,4.88,-0.0096,0.2685,0.3847,-0.451,-0.835,-9.688,8.5e-05,-0.000367,0.000542
3.8566911220550537,-95.069,-2.639,4.881,-0.0047,0.2657,0.3865,-0.393,-0.841,-9.713,-0.000217,-0.000591,0.00019
3.9314510822296143,-95.073,-2.638,4.881,-0.006,0.2629,0.3865,-0.429,-0.825,-9.715,0.000416,0.000168,-0.001357
4.000369071960449,-95.071,-2.636,4.882,-0.0071,0.2672,0.3894,-0.515,-0.81,-9.682,-0.000146,0.000526,-2.7e-05
4.076635122299194,-95.071,-2.636,4.882,-0.007,0.2699,0.3909,-0.478,-0.829,-9.717,-0.000413,-0.000125,0.000623
4.194318056106567,-95.068,-2.633,4.873,-0.0071,0.2685,0.3878,-0.26,-0.777,-9.763,0.011694,0.001391,0.000997
4.266592979431152,-95.068,-2.633,4.866,-0.0046,0.2699,0.3879,-0.312,-1.0,-9.636,-0.000864,-0.003468,-0.000741
4.336838960647583,-95.059,-2.634,4.851,-0.0046,0.2685,0.3864,-0.551,-0.888,-9.679,-0.002109,0.004555,0.003748
4.40539813041687,-95.057,-2.641,4.839,-0.0071,0.2658,0.3879,-0.471,-1.114,-9.637,-0.01154,-0.009654,-0.004056
4.477283954620361,-95.051,-2.629,4.827,-0.0071,0.2658,0.3894,-0.16,-0.71,-9.77,-0.002027,0.003074,0.002648
4.600502967834473,-95.128,-2.71,4.768,-0.0084,0.2644,0.3909,-0.341,-0.756,-9.714,-0.00492,-0.017161,-0.015253
4.6717610359191895,-95.128,-2.664,4.705,-0.0059,0.2657,0.3849,-0.426,-0.758,-9.713,-0.000816,0.002446,-0.005642
4.744503021240234,-95.144,-2.649,4.708,-0.0083,0.2672,0.3893,-0.346,-0.834,-9.656,-0.001122,0.003027,-0.003389
4.821063995361328,-95.154,-2.636,4.716,-0.0071,0.2644,0.3909,-0.421,-0.813,-9.713,-0.000549,0.014094,0.004938
4.889245986938477,-95.156,-2.609,4.709,-0.0083,0.2672,0.3908,-0.428,-0.773,-9.749,0.00135,0.002693,-0.006893
4.962303161621094,-95.163,-2.6,4.731,-0.0072,0.2616,0.3895,-0.501,-0.842,-9.695,0.002322,0.010632,0.005447
5.032405138015747,-95.128,-2.505,4.704,-0.0121,0.2658,0.3846,-0.469,-0.729,-9.745,-0.006166,0.017128,0.002902
5.100306034088135,-95.129,-2.538,4.773,-0.0047,0.2657,0.385,0.059,-1.74,-9.456,0.040423,-0.013429,-0.018091
5.172906160354614,-95.07,-2.458,4.785,-0.0071,0.2672,0.3909,-0.726,-0.911,-9.657,-0.002695,0.018053,0.00869
5.246700048446655,-95.145,-2.284,4.819,-0.0072,0.2644,0.3879,-0.044,-0.972,-9.568,0.029963,0.083504,-0.065714
5.315843105316162,-95.194,-2.148,4.855,-0.0083,0.2686,0.3908,-0.402,-0.802,-9.694,0.004862,0.037667,-0.005306
5.387222051620483,-95.224,-2.07,4.917,-0.0108,0.2672,0.3861,-0.366,-0.923,-9.695,0.025263,-0.005706,-0.00967
5.50612211227417,-95.208,-1.971,4.99,-0.0108,0.27,0.3891,-1.088,-0.717,-9.901,0.020103,-0.021332,-0.003234
5.5784289836883545,-95.191,-1.936,4.954,-0.0109,0.2658,0.3862,-0.735,-0.669,-9.793,-0.007226,-0.002323,0.001087
5.646770000457764,-95.301,-1.78,5.07,-0.0145,0.2714,0.3874,-0.118,-0.621,-9.112,0.105252,0.196914,-0.153758
5.720605134963989,-95.613,-1.371,5.664,-0.0182,0.2714,0.3842,-0.048,-1.235,-9.451,0.101972,0.056288,-0.036746
5.791514158248901,-95.547,-1.256,5.791,-0.0183,0.2742,0.378,-0.269,-0.998,-9.751,0.034446,0.020001,0.040805
5.912891149520874,-95.626,-1.31,5.599,-0.0194,0.2728,0.3871,-0.025,-0.852,-9.751,-0.044161,-0.01569,0.042534
5.982135057449341,-95.408,-1.438,5.332,-0.0156,0.2798,0.3857,-0.635,-0.886,-9.628,-0.069676,-0.024114,0.035337
6.054800987243652,-95.042,-1.634,4.877,-0.0145,0.2645,0.3906,-0.357,-0.91,-9.594,-0.126171,-0.032314,0.106139
6.123492002487183,-94.394,-1.799,4.29,-0.011,0.263,0.3847,-0.205,-0.808,-9.784,-0.119583,-0.050796,0.213506
6.194259166717529,-93.969,-1.933,3.89,-0.0084,0.2602,0.3925,-0.002,-0.589,-9.853,-0.032899,-0.012678,0.064438
6.280328035354614,-93.855,-2.295,4.184,-0.0046,0.2644,0.3957,-1.425,-0.386,-8.775,0.07386,0.044177,-0.159482
6.348659992218018,-94.093,-2.157,4.327,-0.006,0.2602,0.388,-0.262,-1.072,-9.679,-0.057227,0.012922,0.036364
6.466784954071045,-93.872,-2.322,3.951,-0.0048,0.256,0.3943,-0.563,-0.517,-9.674,-0.006809,-0.014437,-0.062431
6.536144971847534,-93.988,-2.332,3.946,-0.0035,0.2588,0.3928,-0.456,-0.738,-9.765,-0.019896,-0.011408,0.006243
6.603990077972412,-94.043,-2.358,3.896,-0.0033,0.2685,0.3926,-0.51,-0.604,-9.707,-0.006224,-0.003858,-0.008689
6.680917024612427,-94.016,-2.381,3.885,-0.0023,0.2601,0.3852,-0.665,-0.598,-9.749,0.00081,-0.017062,0.001485
6.751682996749878,-94.027,-2.434,3.859,-0.0048,0.256,0.3912,-0.426,-0.563,-10.065,-0.006071,-0.01158,0.003181
6.828119993209839,-93.792,-2.451,3.91,-0.0049,0.2546,0.3867,-0.422,-0.717,-9.678,0.017548,8.7e-05,0.098759
6.9461541175842285,-93.464,-2.526,3.679,-0.001,0.2574,0.396,-0.035,-0.571,-9.882,-0.00044,-0.024274,-0.005045
7.065802097320557,-93.587,-2.542,3.681,-0.0035,0.2547,0.4004,-0.429,-0.679,-9.768,-0.019578,-0.007009,-6e-05
7.1869189739227295,-93.819,-2.555,3.651,-0.0035,0.2546,0.3943,-0.56,-0.406,-9.9,0.02458,0.012436,-0.047427
7.303995132446289,-94.365,-2.458,3.937,-0.006,0.2574,0.3942,-0.334,-0.564,-9.627,-9.6e-05,-0.042196,-0.095242
7.3410069942474365,-94.666,-2.627,3.981,-0.0034,0.2644,0.3927,-0.541,-0.553,-9.714,0.019983,-0.08579,-0.131627
7.414977073669434,-95.027,-2.902,4.091,-0.0034,0.2616,0.3927,-0.552,-0.637,-9.959,0.065915,-0.134495,-0.106829
7.48382306098938,-96.031,-4.029,4.337,0.0039,0.2614,0.3839,-0.974,-0.966,-9.714,-0.029377,-0.336,-0.257335
7.5517401695251465,-96.567,-4.742,4.29,0.0065,0.2642,0.3932,-0.32,-1.166,-9.4,-0.026576,-0.016247,0.087293
7.625421047210693,-95.473,-4.289,3.972,0.0065,0.2629,0.3932,-1.019,-0.77,-9.829,-0.051709,0.175829,0.270911
7.744311094284058,-94.534,-3.832,4.066,0.009,0.2628,0.3948,-0.409,-0.859,-9.629,0.075971,0.032149,0.068009
7.819368124008179,-94.09,-3.745,4.154,0.0065,0.2615,0.3947,-0.554,-0.78,-9.582,0.010084,0.054254,0.186765
7.890316009521484,-93.244,-3.653,3.992,0.0101,0.2586,0.3889,-0.573,-0.558,-9.788,-0.022317,0.003593,0.181883
