Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
0.13914799690246582,-96.539,0.953,3.147,-0.0134,0.2388,0.3681,0.226,-0.535,-9.715,0.000831,9.4e-05,0.000256
0.2762739658355713,-96.538,0.956,3.151,-0.012,0.2481,0.3695,0.156,-0.512,-9.679,-0.000209,-0.000256,-0.000282
0.4641759395599365,-96.534,0.956,3.15,-0.0144,0.2442,0.368,0.153,-0.544,-9.708,0.000977,-0.001216,0.000167
0.6095249652862549,-96.536,0.956,3.151,-0.0109,0.2428,0.3697,0.172,-0.554,-9.704,0.001359,0.000443,0.000121
0.7472879886627197,-96.542,0.955,3.15,-0.0108,0.2455,0.374,0.187,-0.545,-9.68,-0.000374,0.000433,-0.000648
0.8849830627441406,-96.543,0.956,3.152,-0.0121,0.2415,0.3725,0.204,-0.544,-9.686,-0.000834,0.000242,0.000693
1.0286269187927246,-96.544,0.957,3.151,-0.0109,0.2441,0.3667,0.165,-0.517,-9.729,0.000567,0.000123,0.000585
1.168428897857666,-96.543,0.957,3.153,-0.0155,0.2469,0.3708,0.121,-0.498,-9.718,0.000323,0.001017,-0.000509
1.307589054107666,-96.55,0.957,3.152,-0.011,0.2401,0.3682,0.12,-0.508,-9.681,0.0005,-0.000166,0.000526
1.4435019493103027,-96.554,0.957,3.15,-0.0144,0.2428,0.3695,0.11,-0.524,-9.685,0.000668,0.000365,-0.000251
1.5829839706420898,-96.559,0.956,3.15,-0.0109,0.2401,0.3697,0.138,-0.526,-9.698,-7.5e-05,0.000508,0.000625
1.772204875946045,-96.566,0.957,3.151,-0.0133,0.2415,0.371,0.224,-0.55,-9.702,0.001138,0.001333,0.000921
1.9660069942474365,-96.576,0.957,3.153,-0.0133,0.2441,0.3681,0.14,-0.522,-9.724,7.5e-05,-0.000538,0.001317
2.100771903991699,-96.575,0.96,3.155,-0.0109,0.2428,0.3697,0.212,-0.533,-9.718,-0.000495,0.000802,-0.000167
2.235538959503174,-96.572,0.961,3.154,-0.0156,0.2442,0.3723,0.194,-0.544,-9.706,-0.001147,0.000146,-7.5e-05
2.3749210834503174,-96.575,0.964,3.153,-0.0121,0.2428,0.3711,0.17,-0.552,-9.751,-0.000133,0.000178,0.000303
2.514090061187744,-96.569,0.962,3.151,-0.0133,0.2402,0.3696,0.203,-0.536,-9.708,0.000798,-0.001282,0.000505
2.616168975830078,-96.571,0.962,3.15,-0.0121,0.2402,0.3711,0.181,-0.536,-9.684,0.000842,0.000949,0.000242
2.7198829650878906,-96.565,0.963,3.152,-0.0121,0.2415,0.3696,0.117,-0.529,-9.704,0.000663,0.000975,0.000407
2.8541970252990723,-96.561,0.962,3.151,-0.0132,0.2442,0.3724,0.167,-0.564,-9.7,-0.000151,-0.000168,0.000287
2.9903628826141357,-96.555,0.96,3.151,-0.0108,0.2442,0.374,0.165,-0.556,-9.683,-4.5e-05,7.1e-05,0.000357
